M69	Viscum_crassulae
M71	Viscum_echinocarpum
M72	Viscum_liquidambaricola
M73	Viscum_monoicum
M74	Viscum_myriophlebium
M75	Viscum_obovatum
M76	Viscum_obovatum2
M77	Viscum_obscurum
M78	Viscum_obscurum2
M79	Viscum_orientale
M80	Viscum_ovalifolium2
M81	Viscum_rotundifolium
M83	Viscum_myriophlebium_var_longifolium
M84	Viscum_spragueanum
M85	Viscum_trachycarpum
M86	Viscum_triflorum
M88	Viscum_tuberculatum2
